Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Acanthurus triostegus,Convict surgeonfish,Acanthuridae,benthic,species,93.3,31,228.5,0.978,0.373,2.463,0.131,0.061,0.27,19,18,20,20.3,6.7,56.6,26.5,8.4,86.3,2.35,0.74,4.57
Acanthurus tristis,Indian Ocean mimic surgeonfish,Acanthuridae,benthic,genus,77.1,24.9,183.6,0.933,0.362,2.37,0.117,0.057,0.24,18.5,17.4,19.7,18.2,6.5,52,28.4,7.4,103.5,2.67,0.83,5.13
Acanthurus xanthopterus,Yellowfin surgeonfish,Acanthuridae,benthic,species,45.1,15.5,110.2,0.699,0.262,1.879,0.127,0.06,0.262,19.4,18.5,20.2,26.6,9.1,89.3,31.3,12.7,76.1,1.99,0.68,3.96
Acentrogobius nebulosus,Shadow goby,Gobiidae,benthic,genus,95.1,43.4,181.5,0.865,0.477,1.611,0.281,0.12,0.633,17.3,15.5,19.1,27,13,60,113,27,421,2.05,1.24,3.3
Aeoliscus strigatus,Razorfish,Centriscidae,pelagic,species,102,55,186,0.838,0.522,1.35,0.137,0.08,0.234,18.2,17,19.4,32.5,15.9,61.9,159,59,396,1.45,0.99,2.13
Aethaloperca rogaa,Redmouth grouper,Serranidae,pelagic,species,31.3,18.1,56.5,0.305,0.161,0.623,0.147,0.094,0.229,18.2,16.2,20.2,59,34,104,119,34,455,0.571,0.319,2.684
Aetobatus ocellatus,Ocellated eagle ray,Aetobatidae,benthic,species,28.5,2.7,160.8,0.53,0.1,2.1,0.284,0.09,0.871,19.1,16.7,21.7,60.2,12.6,273.4,13.3,2.8,65.1,0.754,0.196,2.886
Albula argentea,Longjaw bonefish,Albulidae,benthic,species,116,71,192,0.768,0.423,1.26,0.271,0.163,0.485,18.7,17.6,19.7,85.5,47.9,162.7,12.9,5.6,30.8,0.886,0.648,1.204
Albula glossodonta,Roundjaw bonefish,Albulidae,benthic,genus,16.3,8.5,31.7,0.501,0.314,0.946,0.0927,null,null,18.4,17.1,19.8,27.5,10.6,80.5,57.5,16.1,199.2,0.921,0.59,1.49
Albula vulpes,Bonefish,Albulidae,benthic,species,30.3,14.1,59.7,0.996,0.545,1.854,0.427,0.199,0.933,18.9,17.7,20.1,24.5,10.8,54.9,26.7,6.5,103.9,0.903,0.562,1.47
Alectis ciliaris,African pompano,Carangidae,pelagic,species,13.6,6.8,28.3,0.732,0.384,1.504,0.192,0.108,0.342,20.3,19.2,21.5,21.5,10.1,45.4,31.9,8.4,115.6,0.455,0.277,0.773
Alectis indica,Indian threadfish,Carangidae,pelagic,species,24.8,11,62.2,0.658,0.324,1.524,0.259,0.12,0.563,18.6,17.3,19.9,46.2,17.7,112.5,54.1,11,241.6,0.742,0.427,1.254
Alepes djedaba,Shrimp scad,Carangidae,benthic,species,47.2,25.1,93.1,1.24,0.69,2.24,0.227,0.14,0.389,20.5,19.5,21.5,21.1,11,39.4,22.9,7.1,70.6,0.926,0.606,1.415
Alepisaurus ferox,Long snouted lancetfish,Alepisauridae,pelagic,species,12.8,4.5,31,0.437,0.192,0.995,0.194,0.066,0.467,15.9,12.9,18.5,28.2,10.4,74.1,3.32,0.66,15.85,0.295,0.176,0.466
Aluterus monoceros,Unicorn leatherjacket filefish,Monacanthidae,benthic,species,21,7,51,0.684,0.351,1.513,0.158,0.073,0.33,19.7,17.5,21.9,19.5,9,47.2,27,7,103,0.672,0.377,1.169
Aluterus scriptus,Scribbled leatherjacket filefish,Monacanthidae,benthic,species,13.3,4.4,31.1,0.605,0.315,1.365,0.127,0.056,0.274,19.2,16.9,21.5,20.8,9.1,50.5,20.3,4.7,81.4,0.696,0.385,1.235
Amanses scopas,Broom filefish,Monacanthidae,benthic,family,69.4,23.8,152.2,0.725,0.428,1.507,0.114,0.053,0.229,18.4,16,20.6,29.8,14.9,66.2,53,16,172,1.41,0.83,2.32
Amblycirrhitus bimacula,Twospot hawkfish,Cirrhitidae,benthic,genus,103,60,171,0.721,0.441,1.209,0.156,0.092,0.258,18.6,17.5,19.7,20,10,39,149,45,472,1.64,1.07,2.46
Amblyeleotris diagonalis,Diagonal shrimp goby,Gobiidae,benthic,family,127,64,256,0.743,0.41,1.356,0.109,0.052,0.197,18.1,16.2,19.8,28.6,14.1,58,101,29,314,1.9,1.1,3
Amblyeleotris periophthalma,Periophthalma prawn-goby,Gobiidae,benthic,family,127,64,256,0.743,0.41,1.356,0.109,0.052,0.197,18.1,16.2,19.8,28.6,14.1,58,101,29,314,1.9,1.1,3
Amblyeleotris sungami,Magnus' prawn-goby,Gobiidae,benthic,family,143,71,293,0.797,0.444,1.453,0.111,0.053,0.2,18.1,16.3,19.9,28.8,13.9,59,93.3,26.7,291.6,1.95,1.15,3.11
Amblygaster sirm,Spotted sardinella,Clupeidae,pelagic,species,177,45,548,2,1,5,0.573,0.219,1.517,19.5,17.1,21.8,66,16,209,33.2,7.2,192,1.81,0.89,3.73
Amblyglyphidodon leucogaster,Yellowbelly damselfish,Pomacentridae,pelagic,species,78.3,45.4,127.7,0.821,0.525,1.356,0.157,0.092,0.259,18.6,17.5,19.7,23.9,11.7,45,144,46,443,1.28,0.85,1.91
Amblygobius albimaculatus,Butterfly goby,Gobiidae,benthic,genus,100,46,195,0.813,0.434,1.563,0.306,0.131,0.69,17.6,15.8,19.3,26.5,11.2,61.5,146,36,525,1.9,1.1,3.1
Amblygobius semicinctus,Halfbarred goby,Gobiidae,benthic,species,155,67,314,0.991,0.536,2,0.331,0.138,0.776,17.5,15.8,19.2,24.6,9,60.3,150,37,548,2.18,1.3,3.58
Amblygobius sphynx,Sphinx goby,Gobiidae,benthic,genus,105,48,205,0.843,0.455,1.623,0.307,0.131,0.693,17.6,15.8,19.3,27.2,11.1,62.5,132,33,462,1.9,1.1,3.1
Amblyrhynchotes honckenii,Evileye blaasop,Tetraodontidae,benthic,family,83,28,181,0.877,0.473,1.844,0.25,0.11,0.58,17.6,15.3,19.8,33.2,13,81.7,55.4,13.5,208.4,1.51,0.92,2.46
Amphiprion akallopisos,Skunk clownfish,Pomacentridae,benthic,species,96.4,58.6,192,0.833,0.525,1.269,0.155,0.1,0.235,18.8,17.8,19.8,27.3,14.9,44.8,100,37,273,1.87,1.32,2.63
Amphiprion allardi,Twobar anemonefish,Pomacentridae,benthic,species,76.8,46.4,121.3,0.727,0.482,1.152,0.132,0.084,0.204,18.6,17.5,19.7,25.3,14.1,46.2,66.1,20.3,209.4,1.51,1.02,2.23
Amphiprion ephippium,Saddle anemonefish,Pomacentridae,benthic,species,80.9,48.9,128.6,0.745,0.493,1.181,0.134,0.085,0.207,18.6,17.5,19.7,25,14,46,67,21,212,1.54,1.04,2.28
Amphiprion fuscocaudatus,Seychelles anemonefish,Pomacentridae,benthic,species,80.9,48.9,128.6,0.745,0.493,1.181,0.134,0.085,0.207,18.6,17.5,19.7,25,14,46,67,21,212,1.54,1.04,2.28
Anampses caeruleopunctatus,Bluespotted wrasse,Labridae,benthic,species,42.1,26,72.3,0.552,0.327,0.922,0.136,0.091,0.195,18.8,15.9,21.1,37.4,22.5,57.7,83.5,28.9,255.8,1.35,0.96,2.36
Anampses lineatus,Lined wrasse,Labridae,benthic,genus,104,61,214,0.789,0.458,1.344,0.169,0.104,0.27,18.7,15.9,21,28.7,15.8,50.7,129,42,413,1.82,1.24,3.22
Anampses meleagrides,Spotted wrasse,Labridae,benthic,species,68.3,42.5,129.8,0.672,0.398,1.138,0.153,0.1,0.229,18.7,15.9,21,32.6,19.2,52.4,106,37,326,1.59,1.12,2.82
Anampses twistii,Yellowbreasted wrasse,Labridae,benthic,species,79.7,48.9,156,0.717,0.423,1.22,0.158,0.101,0.242,18.7,15.9,21,31.1,18,51.2,112,38,350,1.69,1.17,2.98
Anarchias seychellensis,Seychelles moray,Muraenidae,pelagic,family,81.7,47,146.4,0.586,0.337,0.954,0.146,0.07,0.386,19.6,17.3,21.9,38.4,20.6,73.5,88.8,24.7,283.4,1.28,0.9,1.79
Anguilla bicolor,Indonesian shortfin eel,Anguillidae,benthic,species,107,61,184,0.75,0.5,1.27,0.526,0.229,1.223,19.1,18,20.4,93.5,48.1,199.5,11.3,2.4,52.8,1.09,0.75,1.61
Antennarius commerson,Commerson's frogfish,Antennariidae,pelagic,species,37,20,67,0.504,0.299,0.915,0.137,0.057,0.304,19.6,17.1,22.6,30.7,13.7,62.9,154,45,537,0.79,0.48,1.25
Antennarius hispidus,Shaggy angler,Antennariidae,pelagic,species,56.7,30.4,104.6,0.568,0.322,1.06,0.156,0.06,0.359,19.3,16.8,22.4,24,10,51,291,78,"1,089",0.987,0.584,1.642
Antennarius pictus,Painted frogfish,Antennariidae,pelagic,genus,46.1,24.7,84.1,0.532,0.307,0.979,0.148,0.059,0.333,19.5,16.9,22.5,27.2,11.5,57.1,218,61,773,0.877,0.529,1.423
Antennatus tuberosus,Tuberculated frogfish,Antennariidae,pelagic,genus,86.8,43.6,174.1,0.635,0.33,1.242,0.179,0.064,0.438,19.1,16.5,22.3,18.1,6.8,43.9,567,135,"2,381",1.21,0.68,2.11
Anyperodon leucogrammicus,Slender grouper,Serranidae,benthic,species,32.9,19.8,57.4,0.438,0.26,0.705,0.139,0.094,0.208,18.7,16.8,20.5,42.3,25.3,71.7,80.9,29.1,239.5,0.983,0.672,1.409
Aphareus furca,Small toothed jobfish,Lutjanidae,pelagic,species,32.9,17.5,61.6,0.585,0.363,0.938,0.152,0.101,0.229,19.2,17.4,20.9,45.8,26.3,75.5,81,31,233,0.837,0.54,1.2
Aphareus rutilans,Rusty jobfish,Lutjanidae,pelagic,species,21.7,11.9,39.4,0.47,0.29,0.76,0.141,0.092,0.212,19.2,17.3,20.9,48.8,27.3,79,84.9,32.1,242.4,0.737,0.475,1.062
Apogon coccineus,Ruby cardinalfish,Apogonidae,benthic,species,214,118,542,1.16,0.7,1.95,0.195,0.113,0.343,19.3,18.2,20.4,26.8,13,53.5,95.8,31.8,281.7,2,1,3
Apogon crassiceps,Transparent cardinalfish,Apogonidae,benthic,species,243,125,506,1.16,0.69,2.31,0.181,0.094,0.345,19,18,20,22.8,10,51.4,73.3,20.8,273.4,1.83,1.15,2.97
Apogon semiornatus,Oblique-banded cardinalfish,Apogonidae,benthic,genus,169,94,320,0.977,0.613,1.804,0.168,0.094,0.298,19,18,20,23.9,11.6,49.4,73.4,22.5,247.6,1.65,1.07,2.52
Apogonichthyoides timorensis,Timor cardinalfish,Apogonidae,benthic,genus,147,84,269,0.904,0.576,1.638,0.165,0.096,0.283,19.1,17.9,20.2,24.6,12.2,49.6,74.5,23.6,241.9,1.55,1.01,2.35
Apogonichthys ocellatus,Ocellated cardinalfish,Apogonidae,benthic,family,205,109,404,1.05,0.64,2.03,0.177,0.095,0.327,19,18,20,23.2,10.6,49.9,78.5,23.3,279.3,1.73,1.1,2.71
Apogonichthys perdix,Perdix cardinalfish,Apogonidae,benthic,family,205,109,404,1.05,0.64,2.03,0.177,0.095,0.327,19,18,20,23.2,10.6,49.9,78.5,23.3,279.3,1.73,1.1,2.71
Apolemichthys trimaculatus,Threespot angelfish,Pomacanthidae,benthic,species,45.5,26.9,72.6,0.562,0.364,0.898,0.119,0.075,0.181,18.5,17.4,19.7,27.1,14.6,50.5,67.8,19.2,230.9,1.32,0.87,1.96
Aporops bilinearis,Blotched podge,Serranidae,pelagic,family,128,69,281,0.766,0.429,1.343,0.19,0.11,0.32,18.4,16.5,20.4,27.2,13.6,53.3,167,52,550,1.63,1.04,2.49
Aprion virescens,Green jobfish,Lutjanidae,pelagic,species,18,9,36,0.54,0.23,1.01,0.156,0.094,0.253,19.2,17.4,21,37,20,71,101,37,293,1.4,0.4,2.2
Arothron hispidus,White-spotted puffer,Tetraodontidae,benthic,species,55.2,18.4,114.1,0.752,0.406,1.534,0.223,0.098,0.512,17.5,15.2,19.8,36.3,15.8,88.3,45.4,10.9,166.7,1.34,0.83,2.2
Arothron immaculatus,Immaculate puffer,Tetraodontidae,benthic,species,63.6,20.6,135.2,0.897,0.484,1.787,0.211,0.09,0.485,17.2,14.9,19.5,33.7,14.8,84.4,35.4,8.6,141.3,1.6,1,2.6
Arothron mappa,Map puffer,Tetraodontidae,benthic,species,33.9,12.8,70.3,0.548,0.344,1.098,0.102,0.05,0.19,18.6,16.3,20.9,41.7,21.1,86.2,26.7,7.8,86.7,1,1,2
Arothron meleagris,Guineafowl puffer,Tetraodontidae,benthic,species,44.3,17.4,93.1,0.553,0.341,1.114,0.12,0.06,0.22,18.9,16.6,21.1,37.3,19.7,81.7,42.7,13,136.4,0.966,0.636,1.468
Arothron nigropunctatus,Blackspotted puffer,Tetraodontidae,benthic,species,60.1,23.6,127.4,0.651,0.406,1.298,0.125,0.065,0.231,18.8,16.5,21,34.6,18,73.6,42.9,13,139.2,1.11,0.72,1.7
Arothron stellatus,Stellate puffer,Tetraodontidae,benthic,genus,29.5,9.9,64.7,0.536,0.282,1.138,0.208,0.09,0.474,17.9,15.5,20.1,42.8,18,109.9,45.1,10.4,176.7,0.986,0.597,1.67
Aspidontus dussumieri,Lance blenny,Blenniidae,benthic,species,106,56,206,0.862,0.528,1.471,0.0958,null,null,18.2,17.1,19.3,30.3,14.4,64.2,56.3,16.3,197.5,2.17,1.39,3.44
Aspidontus tractus,,Blenniidae,benthic,genus,130,72,255,0.83,0.52,1.35,0.112,0.064,0.193,18.5,17.4,19.5,28.8,14.9,55.5,92.4,31.6,258.8,2.03,1.34,3.05
Asterorhombus intermedius,Intermediate flounder,Bothidae,pelagic,species,59.7,28.2,119.7,0.584,0.332,1.035,0.119,0.056,0.237,18.5,16.9,20,25.4,11,55.1,211,53,829,0.972,0.595,1.533
Asterropteryx ensifera,Miller's damsel,Gobiidae,pelagic,species,390,133,"1,005",1.63,0.78,3.77,0.283,0.098,0.855,16.6,14.5,18.5,18.9,5.4,60.1,319,64,"1,441",3.05,1.64,5.72
Asterropteryx semipunctata,Starry goby,Gobiidae,benthic,species,198,92,434,1.06,0.58,1.98,0.106,0.048,0.204,17.8,16,19.6,26.9,12.5,60.9,62.9,15.4,241.4,2.45,1.38,4
Asterropteryx spinosa,Eyebar spiny goby,Gobiidae,benthic,genus,139,54,353,1.61,0.75,3.42,0.19,0.08,0.46,18.4,16.3,20.2,10.6,4,26.8,136,32,526,1.67,0.89,3.24
Atherinomorus lacunosus,Wide-banded hardyhead silverside,Atherinidae,pelagic,species,61.6,27.5,142,1.03,0.55,2.26,0.309,0.12,0.809,20.1,17.8,22.5,15.4,6.2,38.3,91.3,20.5,389.6,1.49,0.87,2.68
Atule mate,Yellowtail scad,Carangidae,pelagic,species,101,46,216,1.28,0.66,2.82,0.385,0.177,0.853,18.7,17.6,19.9,36.1,15.9,91,110,30,392,1.32,0.82,2.13
Aulostomus chinensis,Chinese trumpetfish,Aulostomidae,benthic,species,52.4,28.2,97.1,0.698,0.448,1.179,0.118,0.07,0.202,19.1,17.9,20.3,59.4,30.3,113.2,41.1,15.1,111.5,0.842,0.585,1.204
Auxis thazard,Frigate tuna,Scombridae,pelagic,species,189,53,567,2.19,0.92,5.28,0.358,0.171,0.757,21.9,20,23.7,64.4,16.1,209.1,21.1,4.9,77.8,1.12,0.51,2.39
Azurina lepidolepis,Scaly chromis,Pomacentridae,pelagic,species,107,60,217,0.988,0.614,1.571,0.186,0.111,0.307,18.9,17.9,19.9,25,13,50,206,80,524,1.61,1.1,2.33
Balistapus undulatus,Orange-lined triggerfish,Balistidae,benthic,species,58.8,23,124.1,0.626,0.385,1.236,0.129,0.065,0.258,18.7,16.6,20.7,32.2,16.9,67.7,54.5,16.8,174.2,1.14,0.74,1.74
Balistoides conspicillum,Clown triggerfish,Balistidae,benthic,species,50.9,17,106.2,0.696,0.374,1.418,0.229,0.098,0.553,17.5,15.3,19.6,34.7,15,84.4,57.5,13.8,217.9,1.32,0.81,2.19
Balistoides viridescens,Titan triggerfish,Balistidae,benthic,species,29.1,11.3,61.7,0.464,0.282,0.921,0.109,0.054,0.225,18.8,16.6,20.8,40.1,20.8,84.1,39.5,11.7,130.3,0.895,0.588,1.403
Bathygobius coalitus,Whitespotted frillgoby,Gobiidae,benthic,genus,140,69,289,0.744,0.402,1.376,0.115,0.056,0.209,18.2,16.3,19.9,27.9,13.6,57.6,117,34,360,1.88,1.11,2.99
Bathygobius cocosensis,Cocos frill-goby,Gobiidae,benthic,genus,164,70,355,0.926,0.497,1.868,0.22,0.09,0.53,17,15,19,27.5,9.4,67.5,129,30,484,2.34,1.38,3.88
Bathygobius cyclopterus,Spotted frillgoby,Gobiidae,benthic,genus,235,96,521,1.07,0.57,2.28,0.237,0.092,0.595,17,15,19,24.6,7.8,64.4,148,34,574,2.66,1.53,4.5
Bathygobius fuscus,Dusky frillgoby,Gobiidae,pelagic,species,139,56,314,1.07,0.56,2.19,0.227,0.089,0.581,16.8,14.8,18.6,26.5,9.5,68.3,196,46,790,2.09,1.22,3.65
Belonoperca chabanaudi,Arrowhead soapfish,Serranidae,pelagic,species,117,63,238,0.663,0.388,1.155,0.125,0.071,0.225,18.1,16.1,20.1,33.3,16.4,66.1,125,40,410,1.55,1,2.39
Beryx decadactylus,Alfonsino,Berycidae,benthic,species,12,5,27,0.253,0.132,0.466,0.356,0.155,0.854,17.8,16.7,18.9,24.1,10.6,48.6,21.4,5.9,74.6,0.295,0.202,0.446
Beryx splendens,Splendid alfonsino,Berycidae,pelagic,species,51.9,23.3,122.9,0.93,0.5,1.65,0.4,0.2,0.9,18.8,17.7,19.9,31.2,15.7,62.8,37,13,103,0.659,0.463,1.001
Blenniella chrysospilos,Red-spotted blenny,Blenniidae,benthic,species,99.2,54,184.3,0.762,0.487,1.268,0.102,0.058,0.173,18.3,17.3,19.3,30,15,59,79.1,26,241.8,1.98,1.31,3.03
Blenniella gibbifrons,Hump-headed blenny,Blenniidae,benthic,genus,100,52,191,0.816,0.499,1.432,0.0955,null,null,18.1,17,19.2,29.3,13.7,63.3,63.9,18.2,228.6,2.17,1.38,3.47
Blenniella periophthalmus,Blue-dashed rockskipper,Blenniidae,benthic,species,96.5,56.8,178.7,0.674,0.409,1.073,0.112,0.068,0.182,18.7,17.6,19.7,30.7,16.5,56.1,111,40,284,1.71,1.16,2.47
Bodianus anthioides,Lyretail hogfish,Labridae,benthic,species,59.9,36.8,109.4,0.63,0.37,1.06,0.149,0.097,0.22,18.7,15.8,20.9,32.3,19,51.7,112,39,345,1.57,1.1,2.79
Bodianus axillaris,Axilspot hogfish,Labridae,benthic,species,69.1,42.6,130.1,0.671,0.396,1.14,0.153,0.099,0.23,18.6,15.8,20.9,31.2,18.2,50.5,116,40,364,1.66,1.16,2.92
Bodianus bilunulatus,Tarry hogfish,Labridae,benthic,species,34.5,21.1,57.4,0.504,0.297,0.852,0.13,0.09,0.19,18.8,15.9,21.1,39.4,23.8,61,77.8,26.5,240.3,1.25,0.88,2.18
Bodianus diana,Diana's hogfish,Labridae,benthic,species,82.8,49.8,163.2,0.674,0.372,1.173,0.169,0.107,0.266,18.8,16,21.1,29.3,16.4,51,151,49,488,1.62,1.11,2.9
Bodianus macrourus,Black-banded hogfish,Labridae,benthic,genus,53.5,33.5,97.4,0.569,0.317,0.976,0.153,0.101,0.226,18.9,16.1,21.2,34.6,20.3,55.9,114,39,352,1.36,0.96,2.41
Bolbometopon muricatum,Green humphead parrotfish,Scaridae,benthic,species,17.5,9.5,31.9,0.422,0.258,0.704,0.0966,null,null,19,17,21,47,25,90,33.4,11.2,93.6,1.03,0.7,1.64
Bothus mancus,Flowery flounder,Bothidae,pelagic,species,37.1,18,75.4,0.506,0.296,0.9,0.107,0.052,0.201,18.9,17.3,20.4,33.7,15.9,71.4,107,27,404,0.731,0.465,1.126
Bothus myriaster,Indo-Pacific oval flounder,Bothidae,benthic,species,153,80,293,0.74,0.43,1.3,0.171,0.089,0.332,17.8,16.5,19.3,52.8,25.7,109.9,22.2,6.6,80.3,1.01,0.67,1.48
Bothus pantherinus,Leopard flounder,Bothidae,benthic,species,41.2,20.8,76.9,0.456,0.272,0.782,0.0924,null,null,18.6,17.1,20.1,30.5,15.5,62.1,75.7,18.9,271.8,1,1,2
